up,RP,O
in,IN,O
the,DT,O
**institution,NN,O
for,IN,O
reimplantation,NN,O
of,IN,O
the,DT,O
pacemaker,NN,O
once,IN,O
the,DT,O
infection,NN,B-Concept
is,VBZ,O
completely,RB,O
resolved,VBN,O
.,.,O
,,
8,CD,O
cm,NN,O
(,(,O
0.7-1.1,JJ,O
cm,NN,O
),),O
referring,VBG,O
diagnosis,NN,O
:,:,O
shortness,NN,B-Concept
of,IN,I-Concept
breath,NN,I-Concept
two,CD,O
dimensional,JJ,O
echocardiology,NN,O
:,:,O
this,DT,O
was,VBD,O
a,DT,O
technically,RB,O
difficult,JJ,O
study,NN,O
.,.,O
,,
8,CD,O
cm,NN,O
(,(,O
0.7-1.1,JJ,O
cm,NN,O
),),O
referring,VBG,O
diagnosis,NN,O
:,:,O
shortness,NN,B-Concept
of,IN,I-Concept
breath,NN,I-Concept
two,CD,O
dimensional,JJ,O
echocardiology,NN,O
:,:,O
this,DT,O
was,VBD,O
a,DT,O
technically,RB,O
difficult,JJ,O
study,NN,O
.,.,O
,,
left,VBD,B-Concept
ventricular,JJ,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
left,VBN,B-Concept
ventricular,JJ,I-Concept
wall,NN,I-Concept
thickness,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
segmental,JJ,B-Concept
left,VBD,I-Concept
ventricular,JJ,I-Concept
function,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
overall,JJ,B-Concept
left,VBD,I-Concept
ventricular,JJ,I-Concept
function,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
",",",",O
with,IN,O
an,DT,O
estimated,VBN,O
ejection,NN,O
fraction,NN,O
of,IN,O
55-60,JJ,O
%,NN,O
.,.,O
,,
right,RB,B-Concept
ventricular,JJ,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
right,RB,B-Concept
ventricular,NN,I-Concept
wall,NN,I-Concept
thickness,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
right,RB,B-Concept
ventricular,JJ,I-Concept
function,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
left,VBN,B-Concept
atrial,JJ,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
right,JJ,B-Concept
atrial,JJ,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
the,DT,O
pulmonary,JJ,B-Concept
artery,NN,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
the,DT,O
aortic,JJ,B-Concept
root,NN,I-Concept
size,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
the,DT,O
aortic,JJ,B-Concept
valve,NN,I-Concept
is,VBZ,I-Concept
thickened,VBN,I-Concept
.,.,O
,,
the,DT,O
mitral,JJ,B-Concept
valve,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
the,DT,O
tricuspid,JJ,B-Concept
valve,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
the,DT,O
pulmonic,JJ,B-Concept
valve,NN,I-Concept
is,VBZ,I-Concept
normal,JJ,I-Concept
.,.,O
,,
no,DT,O
pericardial,JJ,B-Concept
effusion,NN,I-Concept
is,VBZ,O
seen,VBN,O
.,.,O
,,
spectral,JJ,O
doppler,NN,O
:,:,O
there,EX,O
is,VBZ,O
trace,JJ,O
mitral,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
there,EX,O
is,VBZ,O
trace,JJ,O
tricuspid,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
there,EX,O
is,VBZ,O
trace,NN,O
pulmonic,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
color,NN,O
flow,NN,O
doppler,NN,O
:,:,O
there,EX,O
is,VBZ,O
trace,JJ,O
mitral,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
there,EX,O
is,VBZ,O
trace,JJ,O
tricuspid,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
there,EX,O
is,VBZ,O
trace,NN,O
pulmonic,JJ,B-Concept
regurgitation,NN,I-Concept
.,.,O
,,
02,CD,O
),),O
normal,JJ,B-Concept
left,VBD,I-Concept
ventricular,JJ,I-Concept
size,NN,I-Concept
and,CC,O
function,NN,O
.,.,O
,,
03,CD,O
),),O
thickened,VBD,B-Concept
aortic,JJ,I-Concept
valve,NN,I-Concept
.,.,O
,,
